universe,symbol,action,announced_on,effective_on,source_url
TW50,3665,add,2025-12-05,2025-12-22,https://taiwanindex.com.tw/news/391
TW50,2360,add,2025-12-05,2025-12-22,https://taiwanindex.com.tw/news/391
TW50,3653,add,2025-12-05,2025-12-22,https://taiwanindex.com.tw/news/391
TW50,2408,add,2025-12-05,2025-12-22,https://taiwanindex.com.tw/news/391
TW50,5871,remove,2025-12-05,2025-12-22,https://taiwanindex.com.tw/news/391
TW50,4938,remove,2025-12-05,2025-12-22,https://taiwanindex.com.tw/news/391
TW50,5876,remove,2025-12-05,2025-12-22,https://taiwanindex.com.tw/news/391
TW50,2609,remove,2025-12-05,2025-12-22,https://taiwanindex.com.tw/news/391
TWMC100,5871,add,2025-12-05,2025-12-22,https://taiwanindex.com.tw/news/391
TWMC100,7799,add,2025-12-05,2025-12-22,https://taiwanindex.com.tw/news/391
TWMC100,4938,add,2025-12-05,2025-12-22,https://taiwanindex.com.tw/news/391
TWMC100,5876,add,2025-12-05,2025-12-22,https://taiwanindex.com.tw/news/391
TWMC100,2451,add,2025-12-05,2025-12-22,https://taiwanindex.com.tw/news/391
TWMC100,6515,add,2025-12-05,2025-12-22,https://taiwanindex.com.tw/news/391
TWMC100,2609,add,2025-12-05,2025-12-22,https://taiwanindex.com.tw/news/391
TWMC100,3665,remove,2025-12-05,2025-12-22,https://taiwanindex.com.tw/news/391
TWMC100,2360,remove,2025-12-05,2025-12-22,https://taiwanindex.com.tw/news/391
TWMC100,5522,remove,2025-12-05,2025-12-22,https://taiwanindex.com.tw/news/391
TWMC100,3653,remove,2025-12-05,2025-12-22,https://taiwanindex.com.tw/news/391
TWMC100,2540,remove,2025-12-05,2025-12-22,https://taiwanindex.com.tw/news/391
TWMC100,2408,remove,2025-12-05,2025-12-22,https://taiwanindex.com.tw/news/391
TWMC100,2352,remove,2025-12-05,2025-12-22,https://taiwanindex.com.tw/news/391
